Sim,Method,Mean,std
0,clustering,-0.2038952312613458,2.245095510922166
1,clustering,0.028528147172478636,2.368868157014794
2,clustering,-0.18895476320766447,2.2637332063749103
3,clustering,-0.013651040683398225,2.305812626484933
4,clustering,0.0139032981478996,2.5278738582202425
5,clustering,-0.19851374916846068,2.462787165749196
6,clustering,0.103545805563668,2.3173218020520117
7,clustering,-0.08423693550531085,2.3694758266436953
8,clustering,-0.22116535604314436,2.2914364647402206
9,clustering,-0.2900121926315942,2.1546684297957235
0,fixe,-0.18690396198956696,2.150253884454597
0,fixe,-0.18690396198956696,2.150253884454597
1,fixe,0.026150801574772082,2.2680322938695365
2,fixe,-0.1732085329403591,2.1679886397191606
0,fixe,-0.18690396198956696,2.150253884454597
1,fixe,0.026150801574772082,2.2680322938695365
2,fixe,-0.1732085329403591,2.1679886397191606
3,fixe,-0.012513453959781706,2.2076507380527812
0,fixe,-0.18690396198956696,2.150253884454597
1,fixe,0.026150801574772082,2.2680322938695365
2,fixe,-0.1732085329403591,2.1679886397191606
3,fixe,-0.012513453959781706,2.2076507380527812
4,fixe,0.012744689968907966,2.4202580073728828
5,fixe,-0.18197093673775563,2.3585774419209424
0,fixe,0.7767729525427235,3.1043937978024725
1,fixe,0.4909854535810534,2.773990154769797
2,fixe,0.614008294370187,2.7462168786196908
3,fixe,0.4195210728620034,2.5592807885639877
4,fixe,0.5423373260066887,2.8669782089486433
5,fixe,0.6301367347944739,2.9656124667906827
6,fixe,0.6493180486389823,2.753542306241373
7,fixe,0.6612679970145465,2.8244952144390565
8,fixe,0.4248483698706831,2.72768529660142
9,fixe,0.5762995051174941,2.5650976607915847
0,fixe,0.7767729525427235,3.1043937978024725
